,BC04_21,BC04_35,BC04_72,BC07_04,BC07_07,BC07_09,BC07_50,BC07_55,BC07_58,BC07_79,BC07_83,BC07_93,BC07_95,BC08_10,BC09_05,BC09_25,BC09_29,BC09_31,BC09_33,BC09_34,BC09_37,BC09_42,BC09_45,BC09_46,BC09_48,BC09_50,BC09_64,BC09_65,BC09_83,BC09_92,BC09_Re_32,BC09_Re_44,BC09_Re_46,BC09_Re_59,BC09_Re_80,BC09_Re_88,BC10_07,BC10_43
TSPAN6,0.00000,0.00000,0.00000,0.00000,0.00000,1.26903,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.01859,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.66676,0.00000,0.00000,0.00000,0.00000
DPM1,0.00000,0.00000,3.40871,0.00000,0.00000,6.46320,0.00000,4.87234,0.00000,7.22110,0.00000,0.00000,4.02326,0.00000,7.07436,1.03562,6.79662,7.35500,1.23879,2.24184,0.00000,0.00000,0.00000,5.75409,8.30081,5.35191,0.00000,7.74349,0.00000,0.00000,8.67055,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
SCYL3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.33914,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
C1orf112,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.49905,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
FUCA2,0.00000,0.00000,0.00000,0.00000,2.39232,0.00000,0.00000,8.14129,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.41346,2.08406,2.32481,0.00000,5.76474,0.00000,0.00000,4.94673,1.43829,6.28725,3.35755,4.91839,0.00000,4.73606,2.03210,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.59932
GCLC,7.74409,0.00000,0.00000,2.56803,0.00000,5.23036,3.05658,0.00000,0.00000,7.17033,0.00000,7.48615,2.58015,0.00000,0.00000,2.90881,0.00000,0.00000,7.74106,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.90400,0.00000,0.00000,0.00000,6.43463,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NFYA,0.00000,0.00000,2.30451,0.00000,3.91934,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.43029,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
STPG1,0.00000,9.35628,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.22651,0.00000,0.00000,7.04985,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NIPAL3,0.00000,0.00000,0.00000,0.00000,4.28983,5.55612,0.00000,0.00000,0.00000,0.00000,0.00000,5.64443,0.00000,0.00000,0.00000,7.96665,0.00000,0.00000,0.00000,6.59529,0.00000,0.00000,0.00000,0.00000,7.01458,2.58736,7.72982,0.00000,0.00000,0.00000,8.59529,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
LAS1L,5.18824,0.00000,2.22342,0.00000,0.00000,3.45681,0.00000,0.00000,0.00000,0.00000,0.00000,7.74147,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.84423,0.00000,0.00000,0.00000,0.00000,0.00000,1.73985,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.38405,0.00000,0.00000,0.00000,0.00000
ENPP4,1.65076,0.00000,3.58856,5.06652,0.00000,5.79572,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.01926,0.00000,1.36177,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
