,BC01_50,BC01_74,BC04_08,BC06_08,BC06_43,BC07LN_10,BC07_23,BC07_42,BC07_44,BC07_52,BC08_01,BC08_04,BC08_31,BC08_54,BC08_83,BC08_88,BC09_13,BC09_70,BC09_Re_05,BC09_Re_13,BC10_20,BC10_67
TSPAN6,0.00000,0.00000,2.24793,0.00000,6.57818,7.08194,7.93080,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.43829,1.21412,0.00000
DPM1,0.00000,4.92932,8.58609,3.63459,2.85997,4.44427,1.98185,0.00000,5.22265,8.51538,7.09371,6.13750,0.00000,0.00000,0.00000,4.68426,7.59014,4.55643,7.00236,7.76593,0.00000,0.00000
SCYL3,0.00000,0.00000,0.00000,0.00000,0.00000,6.26866,0.00000,0.00000,3.72901,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
C1orf112,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.59932,0.00000,0.00000,3.68482,0.00000,0.00000
FUCA2,0.00000,0.00000,7.31225,0.00000,0.00000,3.64847,0.00000,0.00000,5.98208,4.55949,6.32553,2.61589,0.00000,0.00000,0.00000,1.44890,3.69153,7.15512,3.74953,3.51223,0.00000,0.00000
GCLC,0.00000,1.41143,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.70266,0.00000,6.16993,3.61589,0.00000,0.00000
NFYA,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.01436,0.00000,0.00000,2.63923,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
STPG1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.78241,0.00000
NIPAL3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.49825,3.43296,0.00000,0.00000,0.00000,6.13709,6.29260,0.00000,0.00000,5.15056,0.00000,0.00000
LAS1L,2.91648,0.00000,0.00000,0.00000,0.00000,3.31470,0.00000,0.00000,3.09930,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.40735,0.00000,0.00000,6.74160,0.00000,3.27650
ENPP4,0.00000,0.00000,0.00000,0.00000,0.00000,4.14241,9.06687,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
ANKIB1,0.00000,0.00000,5.78895,0.00000,1.33342,5.51602,0.00000,2.08066,5.93475,0.00000,6.76288,0.00000,7.02381,1.25701,0.00000,0.00000,6.32769,6.58736,0.00000,0.00000,4.58856,0.00000
